,fips,state,county,percent_fair_or_poor_health,average_number_of_mentally_unhealthy_days,percent_smokers,percent_adults_with_obesity,food_environment_index,percent_excessive_drinking,num_driving_deaths,num_uninsured,num_primary_care_physicians,num_dentists,dentist_rate,num_mental_health_providers,mental_health_provider_rate,preventable_hospitalization_rate,percent_some_college,percent_children_in_poverty,num_households_CHR,num_associations,annual_average_violent_crimes,injury_death_rate,percent_severe_housing_problems,severe_housing_cost_burden,inadequate_facilities,num_deaths_3,infant_mortality_rate,num_food_insecure,num_limited_access,num_drug_overdose_deaths,drug_overdose_mortality_rate,num_uninsured_2,percent_uninsured_2,num_uninsured_3,other_primary_care_provider_rate,percent_disconnected_youth,median_household_income,segregation_index_2,num_deaths_5,firearm_fatalities_rate,num_homeowners,num_households_with_severe_cost_burden,percent_severe_housing_cost_burden,percent_65_and_over,num_black,num_american_indian_alaska_native,percent_american_indian_alaska_native,num_asian,num_native_hawaiian_other_pacific_islander,num_not_proficient_in_english,num_minorities,num_institutionalized_in_group_quarters,percentile_rank_age_65_and_older,percentile_rank_age_17_and_younger,percentile_rank_minorities,percentile_rank_multi_unit_housing,percentile_rank_mobile_homes,percentile_rank_institutionalized_in_group_quarters,percentile_rank_housing_and_transportation,percentile_rank_social_vulnerability
0,01001,Alabama,Autauga,20.882987328,4.6540313965,18.08155718,33.3,7.2,15.026031257,56.0,4093.0,25.0,18.0,32.37352,13.0,23.38087,7108.0,62.009973681,19.3,13318.0,67,148.5,68.526994226,14.663461538,12.826718296,1.3461538462,30.0,7.9401088929,7270,6543.6768239,18.0,10.809447457,3761.0,11.14898915,372.0,39.56763,10.269195110502778,59338.0,23.628395199,53.0,16.23007758,15814,2726.0,13.403481168,15.562669736,10755,267,0.4802071905,681,62,426,13386,490,0.1964,0.8313,0.6339,0.6791,0.7268,0.1251,0.2881,0.3773
1,01003,Alabama,Baldwin,17.50913436,4.3040564688,17.489032597,31.0,8.0,17.958310103,156.0,19119.0,155.0,108.0,49.53629,210.0,96.32055,4041.0,67.371619818,13.9,45415.0,217,408.0,72.385053972,13.566200931,12.277388019,0.4790419162,87.0,5.5467006694,23560,9886.831137,87.0,13.610486645,17590.0,14.348524769,1714.0,55.95766,8.4767945233,57588.0,31.825343231,207.0,14.09351382,57881,8813.0,11.725807954,20.443349754,19151,1684,0.7723991157,2508,146,1068,33560,2911,0.6437,0.4476,0.5253,0.9733,0.5387,0.3438,0.3324,0.2757
2,01005,Alabama,Barbour,29.591801708,5.1855944125,21.999984528,41.7,5.6,12.844015554,30.0,2136.0,8.0,9.0,36.17218,2.0,8.03826,6209.0,34.857648621,43.9,5429.0,19,105.5,70.274611559,14.583333333,13.445945946,0.6030701754,16.0,8.298313053497369,5760,2948.790251,59.10526315789474,16.071850121671055,1994.0,16.08583414,155.0,52.2487,13.339301701,34382.0,23.449712509,18.0,17.761715009,5640,1190.0,14.059546314,19.420441301,11951,164,0.6591374945,113,46,398,14402,2932,0.4174,0.3617,0.9042,0.2814,0.937,0.9427,0.9312,0.9847
3,01007,Alabama,Bibb,19.439724157,4.5516988486,19.114199885,37.6,7.8,15.570042367,29.0,1727.0,11.0,5.0,22.32143,5.0,22.32143,5961.0,44.137353434,27.8,4608.0,19,19.5,108.15602837,10.496453901,9.9782766112,0.7092198582,16.0,12.244897959,3240,596.16282881,19.0,28.060433312,1612.0,13.0,125.0,111.60714,10.269195110502778,46064.0,52.600205502,23.0,23.936170213,5135,638.0,9.886874322,16.473214286,4731,98,0.4375,53,26,57,5696,2001,0.2585,0.3088,0.645,0.4072,0.9249,0.9156,0.6663,0.5737
4,01009,Alabama,Blount,21.745292814,4.8914546677,19.20867197,33.8,8.4,14.230593827,72.0,6333.0,13.0,11.0,19.01798,9.0,15.56017,4060.0,53.361073248,18.0,13392.0,49,279.0,107.2853687,10.548011639,7.851445663,1.0911736178,45.0,6.8419927304,6140,1650.9594817,42.0,24.199542513,5815.0,17.082341882,574.0,22.4758,18.941594063,50412.0,17.694494741,50.0,20.072746402,16197,1630.0,8.4622572942,18.236514523,846,378,0.653526971,185,70,934,7122,552,0.4909,0.6466,0.4238,0.1344,0.8465,0.1515,0.1827,0.4986
5,01011,Alabama,Bullock,30.999101851,4.8913510426,22.894664011,37.2,4.3,12.094101229,25.0,803.0,3.0,2.0,19.72776,2.0,19.72776,6632.0,34.976094152,68.3,2142.0,8,33.0,107.13807419,18.143459916,15.210449927,3.094233474,13.0,8.298313053497369,2600,2154.7892998,59.10526315789474,16.071850121671055,759.0,15.240963855,49.0,88.77491,10.269195110502778,29267.0,30.618760426,70.83333333333333,21.044978859,2726,605.0,18.501529052,16.38390215,7050,85,0.8384296705,19,76,43,8264,441,0.2732,0.362,0.9812,0.1897,0.9599,0.7705,0.7144,0.9363
6,01013,Alabama,Butler,27.910673184,5.340750195,21.765334963,43.3,6.6,11.85740343,51.0,1759.0,5.0,6.0,30.4878,10.0,50.81301,9203.0,41.678756477,36.3,4534.0,18,116.5,100.0470221,13.159609121,11.692307692,0.3908794788,18.0,8.298313053497369,4160,612.93476079,59.10526315789474,16.071850121671055,1648.0,14.505765338,123.0,71.13821,10.269195110502778,37365.0,37.511848048,10.0,24.011285304,4692,711.0,11.545956479,20.299796748,8769,74,0.3760162602,259,10,93,9576,301,0.5845,0.6151,0.8682,0.3088,0.8835,0.3502,0.5479,0.9166
7,01015,Alabama,Calhoun,23.107733221,4.8160722877,20.612560375,38.5,6.9,13.842230147,96.0,11021.0,73.0,67.0,58.62947,132.0,115.50881,6581.0,59.243988636,26.5,24903.0,166,871.0,89.541547278,13.734191258,11.824932493,0.8431329044,66.0,8.0260303688,18100,10883.209969,63.0,18.334419817,10466.0,15.388687124,628.0,56.00427,6.6911529863,45400.0,40.68118287,118.0,26.427796478,31286,5024.0,11.722432218,17.717475958,23827,617,0.5399161686,1102,126,1076,31291,2976,0.3575,0.4349,0.6676,0.6052,0.631,0.6125,0.6358,0.816
8,01017,Alabama,Chambers,23.995473603,4.8735807661,19.392927053,40.1,6.4,12.745734617,35.0,3208.0,14.0,6.0,17.84917,2.0,5.94972,5622.0,48.460334029,30.7,6953.0,60,180.5,81.478420027,15.9566787,12.377079482,0.9386281588,25.0,8.1061164333,6070,3533.9162159,10.0,9.8842553696,3041.0,15.226316844,185.0,14.87431,11.550733886,39917.0,25.672844447,36.0,21.255240007,9159,1561.0,12.381027919,19.521047152,13300,103,0.3064108285,446,15,36,14715,482,0.6151,0.3467,0.8402,0.5845,0.6734,0.3251,0.8596,0.8408
9,01019,Alabama,Cherokee,20.698470599,4.7112704225,17.498673785,35.0,8.3,14.106562852,51.0,2219.0,10.0,4.0,15.3657,5.0,19.20713,5521.0,51.836210062,24.7,5261.0,22,86.0,108.87190178,13.0,11.152073733,0.5,13.0,8.298313053497369,3230,57.464901716,10.0,12.884273456,2070.0,13.940332682,167.0,80.66994,10.269195110502778,42132.0,29.493789431,30.0,27.024940159,8374,989.0,9.945695897,22.971727105,1104,172,0.6607252612,88,8,99,2105,339,0.773,0.2572,0.3005,0.3639,0.9086,0.2776,0.2518,0.419
